MODEL INFERENCE_TIME
densenet_121_224_quant_edgetpu.tflite 25
inception_v3_299_quant_edgetpu.tflite 102
mobilenet_v2_1.0_224_quant_edgetpu.tflite 2.6
resnet_50_224_quant_edgetpu.tflite 56
vgg16_224_quant_edgetpu.tflite 343
